,序号,字典项,字典项名称,产品范围
,,646,卢旺达,
,,654,圣赫勒拿,
,,659,圣基茨和尼维斯,
,,660,安圭拉,
,,662,圣卢西亚,
,,666,圣皮埃尔和密克隆,
,,670,圣文森特和格林纳丁斯,
,,674,圣马力诺,
,,678,圣多美和普林西比,
,,682,沙特阿拉伯,
,,686,塞内加尔,
,,690,塞舌尔,
,,694,塞拉利昂,
,,702,新加坡,
,,703,斯洛伐克,
,,704,越南,
,,705,斯洛文尼亚,
,,706,索马里,
,,710,南非,
,,716,津巴布韦,
,,724,西班牙,
,,732,西撒哈拉,
,,736,苏丹,
,,740,苏里南,
,,744,斯瓦尔巴群岛,
,,748,斯威士兰,
,,752,瑞典,
,,756,瑞士,
,,760,叙利亚,
,,762,塔吉克斯坦,
,,764,泰国,
,,768,多哥,
,,772,托克劳,
,,776,汤加,
,,780,特立尼达和多巴哥,
,,784,阿联酋,
,,788,突尼斯,
,,792,土耳其,
,,795,土库存曼斯坦,
,,796,特克斯和凯科斯群岛,
,,798,图瓦卢,
,,800,乌干达,
,,804,乌克兰,
,,807,马其顿,
,,818,埃及,
,,826,英国,
,,834,坦桑尼亚,
,,840,美国,
,,850,美属维尔京群岛,
,,854,布基纳法索,
,,858,乌拉圭,
,,860,乌兹别克斯坦,
,,862,委内瑞拉,
,,876,瓦利斯和富图纳群岛,
,,882,西萨摩亚,
,,887,也门,
,,891,南斯拉夫联盟共和国,
,,894,赞比亚,
,17,769010,接口类型,
,,0,普通,
,,1,快捷支付,
,18,769011,成功标志,
,,0,成功,
,,1,系统级错误,
,,2,应用级错误,
,,3,业务级错误,
,19,769013,用户类型,
,,！,用户类型,
,,8,CD卡高级用户,
,,9,普通用户,
,20,769018,明细资金方式,
,,！,明细资金方式,
,,01,托收,
,21,769019,省份,
,,！,省份,
,,11,北京市,
,,12,天津市,
,,13,河北省,
,,14,山西省,
,,15,内蒙古自治区,
,,21,辽宁省,
,,22,吉林省,
,,23,黑龙江省,
,,31,上海市,
,,32,江苏省,
,,33,浙江省,
,,34,安徽省,
,,35,福建省,
,,36,江西省,
,,37,山东省,
,,41,河南省,
,,42,湖北省,
,,43,湖南省,
,,44,广东省,
,,45,广西壮族自治区,
,,46,海南省,
,,50,重庆市,
,,51,四川省,
,,52,贵州省,
,,53,云南省,
,,54,西藏自治区,
,,61,陕西省,
,,62,甘肃省,
,,63,青海省,
,,64,宁夏回族自治区,
,,65,新疆维吾尔族自治区,
,,71,台湾省,
,,81,香港特别行政区,
,,82,澳门特别行政区,
,22,769023,份额分类,
,,A,前收费,
,,B,后收费,
,23,769024,业务大类,
,,01,现金管理,
,,02,余额宝业务,
,24,769025,取现用途,
,,0,缴费,
,,1,取现,
,,2,还房贷,
,,3,还信用卡,
,,5,缴水费,
,,6,缴电费,
,,7,缴煤气费,
,,8,手机卡充值,
,,9,消费,
,25,769029,交易周期,
,,1,1个月,
,,2,2个月,
,26,769032,业务辅助代码,
,,A1,代扣协议签约、解约,
,,A2,修改证件号码,
,,A3,好易联换卡,
,,A4,修改银行全称,
,,A5,修改默认回款帐号,
,,A6,开通网上修改银行资料(直销柜台使用),
,,A7,变更资金渠道(浦银安盛项目使用),
,,A8,银行端发起代扣协议解约,
,,A9,修改银行户名,
,,AA,开通汇款交易,
,,AB,汇款协议签约,
,,AC,银行端发起银行资料修改,
,,AD,预留电话号码修改(在HS_TRANSACTION 83中使用),
,,AE,银行端解约(需要检查三无),
,,AF,预用户绑定银行卡,
,,43,货币赎回转购,
,,54,货币赎回转认购,
,27,769035,协议周期单位,
,,0,月,
,,1,周,
,,2,日,
,28,769036,扣款状态,
,,0,未校验,
,,1,无效,
,,2,有效,
,,3,已发送扣款指令,
,29,769038,冻结方式,
,,0,司法冻结,
,,1,主动冻结,
,,2,质押冻结,
,30,769039,问卷客户类别,
,,0,普通客户,
,,1,专户客户,
,31,A00003,证件类别,
,,0,身份证,
,,1,外国护照,
,,2,营业执照,
,,3,军官证,
,,4,社会保障号,
,,5,回乡证,
,,6,解放军文职干部证,
,,7,警官证,
,,8,解放军士兵证,
,,9,户口簿,
,,10,港澳居民来往内地通行证,
,,11,台湾居民来往大陆通行证,
,,12,外国人永久居留证,
,,13,本国护照,
,,14,武警文职干部证,
,,15,武警士兵证,
,,16,临时身份证,
,,17,海外客户编号,
,,18,境外身份证,
,,19,港澳台居民身份证,
,,20,事业法人登记证书,
,,21,其他有效证件,
,,A,全国组织机构代码,
,,B,社会团体,
,,C,技术监督局,
,,D,行政机关,
,,E,法人社团,
,,F,非法人社团,
,,G,军队,
,,H,武警,
,,I,下属机构,
,,J,基金会,
,32,C00001,资金方式,
,,1,普通方式,
,,G,招行网银,
,,l,快钱,
,,I,富友,
,,M,通联,
,,P,易宝,
,,r,收付捷,
,,AI,宝付,
,,AA,快付通,
,,3,银联通,
,,6,汇付天下,
,33,C00002,交易委托方式,
,,2,网上委托,
,,7,手机委托,
,34,C00003,客户类别,
,,1,个人,
,,0,机构,
,35,C00006,确认标志,
,,0,确认失败,
,,1,确认成功,
,,2,部分确认,
,,3,实时确认成功,
,,4,撤单,
,,5,行为确认,
,,9,未确认,
,36,C00007,交易账号状态,
,,0,正常,
